formula,formula_with_coefficients,params_num,r2,adj_r2,std_err,max_err,f_stat,func_type,n_dims
z=A+B/x+C/x^2+D/x^3+Ey,z=18.368+72.926/x-33.652/x^2+3.493/x^3+46.733y,5,0.38259,0.34975,11.154,24.383,11.65,simple,3
z=(A+Bx+Cx^2+Dlny)/(1+Ex+Flny),z=(25675830-363747461x+1080682907x^2+19637930lny)/(1+750174x-6607.3lny),6,0.38189,0.34201,11.221,24.126,9.5764,simple,3
z=(A+Bx+Cx^2+Dlny)/(1+Ex+Flny),z=(25675830-363747461x+1080682907x^2+19637930lny)/(1+750174x-6607.3lny),6,0.38189,0.34201,11.221,24.126,9.5764,simple,3
z=A+B/x+C/x^2+Dy,z=362.84-151.67/x+15.144/x^2+45.351y,4,0.38154,0.3555,11.105,24.361,14.652,simple,3
z=A+B/x+C/x^2+Dy,z=362.84-151.67/x+15.144/x^2+45.351y,4,0.38154,0.3555,11.105,24.361,14.652,simple,3
z=A+Blnx+C(lnx)^2+D(lnx)^3+E(lnx)^4+F(lnx)^5+Gy,z=-367748-1197007lnx-1553917(lnx)^2-1005890(lnx)^3-324771(lnx)^4-41850(lnx)^5+49.708y,7,0.38055,0.33342,11.294,27.57,8.0741,simple,3
z=A+Blnx+C(lnx)^2+D(lnx)^3+E(lnx)^4+F(lnx)^5+Gy,z=-367748-1197007lnx-1553917(lnx)^2-1005890(lnx)^3-324771(lnx)^4-41850(lnx)^5+49.708y,7,0.38055,0.33342,11.294,27.57,8.0741,simple,3
z=(A+Bx+Cx^2+Dy)/(1+Ex+Fy),z=(44030866-668116374x+1983927128x^2+14548027y)/(1+1371797x-3287.9y),6,0.38048,0.34052,11.233,24.176,9.5195,simple,3
z=(A+Bx+Cx^2+Dy)/(1+Ex+Fy),z=(44030866-668116374x+1983927128x^2+14548027y)/(1+1371797x-3287.9y),6,0.38048,0.34052,11.233,24.176,9.5195,simple,3
z=A+Blnx+C(lnx)^2+Dlny,z=738.64+925.32lnx+287.91(lnx)^2+111.88lny,4,0.37981,0.35369,11.121,24.146,14.544,simple,3
z=A+Blnx+C(lnx)^2+Dlny,z=738.64+925.32lnx+287.91(lnx)^2+111.88lny,4,0.37981,0.35369,11.121,24.146,14.544,simple,3
z=A+Blnx+C(lnx)^2+Dy,z=728.06+922.25lnx+286.92(lnx)^2+44.258y,4,0.37818,0.352,11.135,24.209,14.444,simple,3
z=A+Blnx+C(lnx)^2+Dy,z=728.06+922.25lnx+286.92(lnx)^2+44.258y,4,0.37818,0.352,11.135,24.209,14.444,simple,3
z=(A+Bx+Cy)/(1+Dx+Ey),z=(-2210.3-18077x+3134y)/(1-207.09x+24.267y),5,0.37604,0.34285,11.213,22.554,11.33,simple,3
z=(A+Bx+Cy)/(1+Dx+Ey),z=(-2210.3-18077x+3134y)/(1-207.09x+24.267y),5,0.37604,0.34285,11.213,22.554,11.33,simple,3
z=A+Bx+Cx^2+Dy,z=192.21-2029.1x+5082.8x^2+43.503y,4,0.37323,0.34684,11.179,23.919,14.143,simple,3
z=A+Bx+Cx^2+Dy,z=192.21-2029.1x+5082.8x^2+43.503y,4,0.37323,0.34684,11.179,23.919,14.143,simple,3
z=A+Blnx+C(lnx)^2+D(lnx)^3+E(lnx)^4+Fy+Gy^2,z=-30893-79552lnx-78338(lnx)^2-34009(lnx)^3-5494.8(lnx)^4+722.91y-134.71y^2,7,0.3701,0.32217,11.389,25.406,7.722,simple,3
z=A+Blnx+C(lnx)^2+D(lnx)^3+E(lnx)^4+Fy+Gy^2,z=-30893-79552lnx-78338(lnx)^2-34009(lnx)^3-5494.8(lnx)^4+722.91y-134.71y^2,7,0.3701,0.32217,11.389,25.406,7.722,simple,3
z=(A+Blnx+Cy)/(1+Dlnx+E(lnx)^2+Fy),z=(20227153+10098502lnx-814420y)/(1-197083lnx-92453(lnx)^2-23144y),6,0.36637,0.32549,11.361,24.3,8.9622,simple,3
z=(A+Blnx+Cy)/(1+Dlnx+E(lnx)^2+Fy),z=(20227153+10098502lnx-814420y)/(1-197083lnx-92453(lnx)^2-23144y),6,0.36637,0.32549,11.361,24.3,8.9622,simple,3
z=A+B/x+C/x^2+D/x^3+E/x^4+F/x^5+Gy+Hy^2+Iy^3+Jy^4,z=251871-12550/x+5589.2/x^2-1248.6/x^3+139.17/x^4-6.1686/x^5-373183y+216595y^2-55702y^3+5355.4y^4,10,0.36145,0.28971,11.658,28.197,5.0379,simple,3
z=A+B/x+C/x^2+D/x^3+E/x^4+F/x^5+Gy+Hy^2+Iy^3+Jy^4,z=251871-12550/x+5589.2/x^2-1248.6/x^3+139.17/x^4-6.1686/x^5-373183y+216595y^2-55702y^3+5355.4y^4,10,0.36145,0.28971,11.658,28.197,5.0379,simple,3
z=A+Blnx+C(lnx)^2+D(lnx)^3+E(lnx)^4+F(lnx)^5+Gy+Hy^2+Iy^3,z=280188+830641lnx+1100657(lnx)^2+727925(lnx)^3+240174(lnx)^4+31615(lnx)^5-36132y+14634y^2-1970.5y^3,9,0.35047,0.28552,11.692,24.437,5.3958,simple,3
z=A+Blnx+C(lnx)^2+D(lnx)^3+E(lnx)^4+F(lnx)^5+Gy+Hy^2+Iy^3,z=280188+830641lnx+1100657(lnx)^2+727925(lnx)^3+240174(lnx)^4+31615(lnx)^5-36132y+14634y^2-1970.5y^3,9,0.35047,0.28552,11.692,24.437,5.3958,simple,3
z=A+Blnx+C(lnx)^2+D(lnx)^3+E(lnx)^4+Fy+Gy^2+Hy^3,z=27545-474.27lnx-1069.8(lnx)^2-546.44(lnx)^3-75.608(lnx)^4-33136y+13412y^2-1804.7y^3,8,0.34887,0.29163,11.642,28.339,6.0948,simple,3
z=A+Blnx+C(lnx)^2+D(lnx)^3+E(lnx)^4+Fy+Gy^2+Hy^3,z=27545-474.27lnx-1069.8(lnx)^2-546.44(lnx)^3-75.608(lnx)^4-33136y+13412y^2-1804.7y^3,8,0.34887,0.29163,11.642,28.339,6.0948,simple,3
z=A+Bx+Cy+Dy^2+Ey^3,z=17559+278.79x-21350y+8640.2y^2-1161.1y^3,5,0.3474,0.31269,11.468,27.38,10.008,simple,3
z=A+Bx+Cy+Dy^2+Ey^3,z=17559+278.79x-21350y+8640.2y^2-1161.1y^3,5,0.3474,0.31269,11.468,27.38,10.008,simple,3
z=A+Bx+Clny+D(lny)^2+E(lny)^3,z=14219+279.08x-47282lny+52327(lny)^2-19220(lny)^3,5,0.34305,0.30811,11.506,28.502,9.8171,simple,3
z=A+Bx+Clny+D(lny)^2+E(lny)^3,z=14219+279.08x-47282lny+52327(lny)^2-19220(lny)^3,5,0.34305,0.30811,11.506,28.502,9.8171,simple,3
z=A+Bx^(2.5)+Cy,z=-42.35+1055.6x^(2.5)+48.379y,3,0.34138,0.3208,11.4,25.018,16.586,simple,3
z=A+Bx^(2.5)+Cylny,z=21.05+1054.2x^(2.5)+25.119ylny,3,0.34064,0.32004,11.406,25.016,16.532,simple,3
z=A+Bx^2+Cy,z=-50.038+621.91x^2+49.094y,3,0.33678,0.31605,11.44,25.476,16.249,simple,3
z=A+Bx^2+Cylny,z=14.298+621.06x^2+25.496ylny,3,0.33606,0.31531,11.446,25.471,16.197,simple,3
z=A+Bx+Cy+Dy^2,z=-725.77+284.2x+562y-102.05y^2,4,0.33266,0.30457,11.535,26.119,11.839,simple,3
z=A+Bx+Cy+Dy^2,z=-725.77+284.2x+562y-102.05y^2,4,0.33266,0.30457,11.535,26.119,11.839,simple,3
z=A+Bx^(1.5)+Cy,z=-61.653+388.57x^(1.5)+49.847y,3,0.33169,0.3108,11.484,25.948,15.882,simple,3
z=A+Bx+Clny+D(lny)^2,z=-515.88+283.31x+1089.8lny-525.4(lny)^2,4,0.33169,0.30355,11.544,26.081,11.787,simple,3
z=A+Bx+Clny+D(lny)^2,z=-515.88+283.31x+1089.8lny-525.4(lny)^2,4,0.33169,0.30355,11.544,26.081,11.787,simple,3
z=A+Bx^(1.5)+Cylny,z=3.6724+388.01x^(1.5)+25.892ylny,3,0.33099,0.31008,11.49,25.946,15.832,simple,3
z=A+Be^(x/Wx)+Cy,z=-70.992-1087.9e^(x/-6.0677x)+49.984y,4,0.33058,0.3024,11.553,26.036,11.729,simple,3
z=A+Be^(x/Wx)+Cylny,z=-5.4755-2113.8e^(x/-11.806x)+25.965ylny,4,0.32989,0.30168,11.559,26.028,11.692,simple,3
z=A+Bx+Clny,z=-73.253+272.35x+127.42lny,3,0.3273,0.30628,11.521,26.43,15.569,simple,3
z=A+Bx+Clny,z=-73.253+272.35x+127.42lny,3,0.3273,0.30628,11.521,26.43,15.569,simple,3
z=A+Bx+Clny,z=-73.253+272.35x+127.42lny,3,0.3273,0.30628,11.521,26.43,15.569,simple,3
z=A+Bx^2lnx+Cy,z=-68.163-611.88x^2lnx+50.661y,3,0.32636,0.3053,11.529,26.446,15.503,simple,3
